[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.008001s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.009000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --START--
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002001s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.038002s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038002s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Tag[ route_check ] --START--
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:39+08:00 ] /QA/index.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010000s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | SQL: SELECT id,pwd,username FROM `wl_index_user` WHERE ( `username` = '小呆' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Tag[ view_template ] --START--
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002001s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002001s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Run ParseTemplate Behavior [ RunTime:0.023001s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023001s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:40+08:00 ] /QA/index.php/index/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
