[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_end ] --START--
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-07-08T00:00:10+08:00 ] /QA/index.php/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:11+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-08T11:35:11+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-08T11:35:11+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.037003s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.036002s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.030002s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.000000s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-08T11:35:12+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.025001s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.026001s ]
[ 2016-07-08T11:35:12+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.030002s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030002s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:13+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ route_check ] --START--
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ app_begin ] --START--
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:21+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.008000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 87 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_template ] --START--
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Tag[ view_parse ] --START--
[ 2016-07-08T11:35:22+08:00 ] /QA/index.php/member/index/id/87 | INFO: Run ParseTemplate Behavior [ RunTime:0.043003s ]
