[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.010001s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.000000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 23 行.
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT `experience`,`money` FROM `wl_index_user` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004001s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004001s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.042002s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042002s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008000s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002001s ]
[ 2016-08-04T18:19:03+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003001s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012001s ]
[ 2016-08-04T18:19:20+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003001s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003001s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013001s ]
[ 2016-08-04T18:19:45+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012001s ]
[ 2016-08-04T18:19:51+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '测试8' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-08-04T18:19:54+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
