[ 2016-07-07T23:38:38+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:38:38+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004001s ]
[ 2016-07-07T23:38:38+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T23:38:38+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:38:38+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-07T23:38:46+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T23:38:47+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011001s ]
[ 2016-07-07T23:38:47+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012001s ]
