[ 2016-06-29T12:36:17+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:25+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.219013s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.026001s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.026001s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006001s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:41+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.012000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | SQL: SELECT * FROM `wl_category`  [ RunTime:0.001000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run LocationTemplate Behavior [ RunTime:0.018002s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.018002s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run ParseTemplate Behavior [ RunTime:0.046002s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.046002s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2016-06-29T12:36:45+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-06-29T12:36:47+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.013001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.012001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022001s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:49+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.051003s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SELECT COUNT(*) AS tp_count FROM `wl_question` LIMIT 1   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SELECT * FROM `wl_question` ORDER BY ask_time DESC LIMIT 0,20   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | NOTIC: [8] Undefined index: reward dd78b103fc683803a37a045a775a0547.php 第 30 行.
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | NOTIC: [8] Undefined index: reward dd78b103fc683803a37a045a775a0547.php 第 30 行.
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ParseTemplate Behavior [ RunTime:0.038003s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039003s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.013001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SELECT COUNT(*) AS tp_count FROM `wl_question` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | SQL: SELECT * FROM `wl_question` ORDER BY ask_time DESC LIMIT 0,20   [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_template ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | NOTIC: [8] Undefined index: reward dd78b103fc683803a37a045a775a0547.php 第 30 行.
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | NOTIC: [8] Undefined index: reward dd78b103fc683803a37a045a775a0547.php 第 30 行.
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_end ] --START--
[ 2016-06-29T12:36:51+08:00 ] /QA/admin.php/Ask/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-06-29T12:36:52+08:00 ] /QA/admin.php/Ask/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-29T12:36:55+08:00 ] /QA/admin.php/Ask/solve | INFO: Tag[ route_check ] --START--
[ 2016-06-29T12:36:55+08:00 ] /QA/admin.php/Ask/solve | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-29T12:36:55+08:00 ] /QA/admin.php/Ask/solve | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
